Confidence,REF,MFR,P/N,QTY,Description
HIGH,CB1/CB2,ABB,XT7SQ312EPFF000XXX,2,"TMAX XT7S 1200A, 3P, LSI TOUCH, 50kA@480Vac, 100% RATED, UL/CSA FIXED, FRONT TERMINALS AND SOLID-STATE RELEASE IN AC"
HIGH,CB1/CB2,ABB,ZE1AUX4,2,AUXILIARY CONTACT BLOCK
HIGH,CB1/CB2,ABB,ZEAPWRS,2,EKIP SUPPLY 110-240V AC/DC
HIGH,CB1/CB2,ABB,ZEB2K3,2,RELT-EKIP 2K-3 MODULE
HIGH,CB3,ABB,XT2NQ31001FF000XXX,1,"TMAX XT2N 125A, 3P, LSI DIP, 65kA@208Vac, 100% RATED, UL/CSA FIXED, FRONT TERMINALS AND SOLID-STATE RELEASE IN AC. (TRIP SET AT 100A)"
HIGH,CB3,ABB,KXTAAUX,1,AUXILIARY CONTACT BLOCK
HIGH,CB3-LUGS,ABB,KXT2CUAL2-3PC,2,FC CUAL TERMINALS FOR CUAL CABLES 10-2/0 AWG
HIGH,K1,KIRK KEY,KUL007510-H--,1,KIRK KEY INTERLOCK TYPE U FOR MOLDED CASE BREAKER (INSTALLED ON CB1)
HIGH,K2-MAE,KIRK KEY,KFL007510-H--,1,KIRK KEY INTERLOCK FOR CLIENT UPSTREAM BREAKER COVER (MATCHED TUMBLER SET). MUST BE KEYED THE SAME. SHIPPED LOOSE
HIGH,CB4,SIEMENS,5SJ4110-7HG40,1,"1P. 10A, 120V, RAIL MOUNTED BREAKER, UL489"
HIGH,CB5,SIEMENS,5SJ4120-7HG40,1,"1P. 20A, 120V, RAIL MOUNTED BREAKER, UL489"
HIGH,CB6,SIEMENS,5SJ4130-7HG40,1,"1P. 30A, 120V, RAIL MOUNTED BREAKER, UL489"
HIGH,STAT,FINDER,7T.81.0.000.2303,1,"PANEL THERMOSTAT, HEATING CONTROL, NO, 0~60C"
HIGH,HEAT1/HEAT2,HEATREX,HX-565004,2,"250W, 120V, SPACE HEATER"
HIGH,REC1,LEVITON,GFNT2-W,1,20A 5-20R GFCI DUPLEX RECEPTACLE
HIGH,REC2,LEVITON,2610,1,30A L5-30R RECEPTACLE
HIGH,POST,CIRC-TEST,375-591-10,2,TERMINAL POSTS (BANANA PLUGS AND/OR WIRE POST)
HIGH,SW1,SIEMENS,3SU1052-2BL60-0AA0,1,3-POSITION SELECTOR SWITCH
HIGH,SW1,SIEMENS,3SU1400-1AA10-1BA0,4,NORMALLY OPEN CONTACT
HIGH,SW1,SIEMENS,3SU1550-0AA10-0AA0,1,SELECTOR SWITCH HOLDER
HIGH,PL1/PL2,SIEMENS,3SU1051-6AA50-0AA0,2,"22mm BLUE PILOT LIGHT, LED"
HIGH,PL1/PL2,SIEMENS,3SU1401-1BH50-1AA0,2,22mm BLUE PILOT LIGHT CONTACT
HIGH,PL1/PL2,SIEMENS,3SU1550-0AA10-0AA0,2,22mm HOLDER
HIGH,SW2/SW3,SIEMENS,3SU1050-4BF11-0AA0,2,2-POSITION KEYED SELECTOR SWITCH
HIGH,SW2/SW3,SIEMENS,3SU1400-1AA10-1CA0,2,NORMALLY OPEN CONTACT
HIGH,SW2/SW3,SIEMENS,3SU1550-0AA10-0AA0,2,22MM HOLDER
HIGH,FB1,MERSEN,USCC2,1,2P FUSE HOLDER CC TYPE (1A FUSE ON L) (DUMMY ON N)
HIGH,FB2,MERSEN,USCC3,1,3P FUSE HOLDER CC TYPE (3 X 1A FUSE)
HIGH,FUSE,MERSEN,ATQR1,4,FUSE ATQR - CLASS CC - TIME-DELAY 600VAC 300VDC 1A FERRULE AMP-TRAP 2000
HIGH,DUMMY FUSE,EATON,NNB-R,1,"EATON BUSSMANN SERIES MNB DUMMY FUSE NEUTRAL, CLASS CC, NON INDICATING"
HIGH,PSR1,SIEMENS,3UG4614-1BR20,1,"PHASE SEQUENCE RELAY, 160~690V, PROGRAMMABLE"
HIGH,TRAN1,HAMMOND,SP50ACP,1,"50VA, 600/480V - 240/120V CONTROL TRANSFORMER"
HIGH,PL3,SIEMENS,3SU1051-6AA40-0AA0,1,"22mm GREEN PILOT LIGHT, LED"
HIGH,PL3,SIEMENS,3SU1401-1BH40-1AA0,1,22mm GREEN PILOT LIGHT CONTACT
HIGH,PL3,SIEMENS,3SU1550-0AA10-0AA0,1,22mm HOLDER
HIGH,PL4,SIEMENS,3SU1051-6AA20-0AA0,1,"22mm RED PILOT LIGHT, LED"
HIGH,PL4,SIEMENS,3SU1401-1BH20-1AA0,1,22mm RED PILOT LIGHT CONTACT
HIGH,PL4,SIEMENS,3SU1550-0AA10-0AA0,1,22mm HOLDER
HIGH,SNAP COVERS,MARINCO PP,CLL3RN-Z,13,"CLEAR, HINGED CAMLOCK SNAP COVERS"
