Parts Needed — J16455
BOM source : J16455 BOM (DWG-embedded xlsx)
Generated  : 2026-04-14
Overall confidence : 100%  (Opus 4.6 + Sonnet 4.6 cross-check — full agreement on all 38 rows)

CONF  P/N                       QTY   MFR         DESCRIPTION
HIGH  XT7SQ312EPFF000XXX        2     ABB         TMAX XT7S 1200A, 3P, LSI TOUCH, 50kA@480Vac, 100% RATED, UL/CSA FIXED, FRONT TERMINALS
HIGH  ZE1AUX4                   2     ABB         AUXILIARY CONTACT BLOCK
HIGH  ZEAPWRS                   2     ABB         EKIP SUPPLY 110-240V AC/DC
HIGH  ZEB2K3                    2     ABB         RELT-EKIP 2K-3 MODULE
HIGH  XT2NQ31001FF000XXX        1     ABB         TMAX XT2N 125A, 3P, LSI DIP, 65kA@208Vac (TRIP SET AT 100A)
HIGH  KXTAAUX                   1     ABB         AUXILIARY CONTACT BLOCK
HIGH  KXT2CUAL2-3PC             2     ABB         FC CUAL TERMINALS FOR CUAL CABLES 10-2/0 AWG
HIGH  KUL007510-H--             1     KIRK KEY    KIRK KEY INTERLOCK TYPE U (INSTALLED ON CB1)
HIGH  KFL007510-H--             1     KIRK KEY    KIRK KEY INTERLOCK FOR CLIENT UPSTREAM BREAKER COVER
HIGH  5SJ4110-7HG40             1     SIEMENS     1P 10A 120V RAIL BREAKER, UL489
HIGH  5SJ4120-7HG40             1     SIEMENS     1P 20A 120V RAIL BREAKER, UL489
HIGH  5SJ4130-7HG40             1     SIEMENS     1P 30A 120V RAIL BREAKER, UL489
HIGH  7T.81.0.000.2303          1     FINDER      PANEL THERMOSTAT, HEATING CONTROL, NO, 0~60C
HIGH  HX-565004                 2     HEATREX     250W, 120V SPACE HEATER
HIGH  GFNT2-W                   1     LEVITON     20A 5-20R GFCI DUPLEX RECEPTACLE
HIGH  2610                      1     LEVITON     30A L5-30R RECEPTACLE
HIGH  375-591-10                2     CIRC-TEST   TERMINAL POSTS (BANANA PLUGS / WIRE POST)
HIGH  3SU1052-2BL60-0AA0        1     SIEMENS     3-POSITION SELECTOR SWITCH
HIGH  3SU1400-1AA10-1BA0        4     SIEMENS     NORMALLY OPEN CONTACT
HIGH  3SU1550-0AA10-0AA0        1     SIEMENS     SELECTOR SWITCH HOLDER
HIGH  3SU1051-6AA50-0AA0        2     SIEMENS     22mm BLUE PILOT LIGHT LED
HIGH  3SU1401-1BH50-1AA0        2     SIEMENS     22mm BLUE PILOT LIGHT CONTACT
HIGH  3SU1550-0AA10-0AA0        2     SIEMENS     22mm PILOT LIGHT HOLDER (PL1/PL2)
HIGH  3SU1050-4BF11-0AA0        2     SIEMENS     2-POSITION KEYED SELECTOR SWITCH
HIGH  3SU1400-1AA10-1CA0        2     SIEMENS     NORMALLY OPEN CONTACT
HIGH  3SU1550-0AA10-0AA0        2     SIEMENS     22MM HOLDER (SW2/SW3)
HIGH  USCC2                     1     MERSEN      2P FUSE HOLDER, CC TYPE
HIGH  USCC3                     1     MERSEN      3P FUSE HOLDER, CC TYPE
HIGH  ATQR1                     4     MERSEN      FUSE ATQR CLASS CC TIME-DELAY 600VAC 1A
HIGH  NNB-R                     1     EATON       BUSSMANN MNB DUMMY FUSE NEUTRAL CLASS CC
HIGH  3UG4614-1BR20             1     SIEMENS     PHASE SEQUENCE RELAY, 160~690V, PROGRAMMABLE
HIGH  SP50ACP                   1     HAMMOND     50VA 600/480V - 240/120V CONTROL TRANSFORMER
HIGH  3SU1051-6AA40-0AA0        1     SIEMENS     22mm GREEN PILOT LIGHT LED
HIGH  3SU1401-1BH40-1AA0        1     SIEMENS     22mm GREEN PILOT LIGHT CONTACT
HIGH  3SU1550-0AA10-0AA0        1     SIEMENS     22mm GREEN PILOT LIGHT HOLDER
HIGH  3SU1051-6AA20-0AA0        1     SIEMENS     22mm RED PILOT LIGHT LED
HIGH  3SU1401-1BH20-1AA0        1     SIEMENS     22mm RED PILOT LIGHT CONTACT
HIGH  3SU1550-0AA10-0AA0        1     SIEMENS     22mm RED PILOT LIGHT HOLDER
HIGH  CLL3RN-Z                  13    MARINCO PP  CLEAR HINGED CAMLOCK SNAP COVERS
